[17:30:43.434][INFO][CraftTweaker-Commands]: - <recipetype:almostunified:client_recipe_tracker>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:iceandfire:dragonforge>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:glyph>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:lychee:particle_entity_collision>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:bee_fishing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:reaction>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:pressing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:malum:unchained_transmutation>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ae2lt:firmament_conversion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:combining>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:deep_aether:golden_swet_ball_recipe>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:compressing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:washing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:upgrade_kit>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:avaritia:compressor_recipe>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:cloche>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:generator_fuel>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:arcanum_battery_attach>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:cataclysm:amethyst_bless>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:mineral_mix>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:lychee:blank>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:enderio:fire_crafting>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:justenoughbreeding:taming>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:chicken_roost:trainer_output>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:evaporating>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aether:accessory_freezable>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aether:swet_ball_conversion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:avaritia:extreme_smithing_recipe>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:infused_press_compression>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:extendedcrafting:table>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:woot_revived:item_infuser>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:oritech:steam_engine>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:bigreactors:reprocessor>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:expandeddelight:juicing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:lychee:nuclear_explosion_damage_entity>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:dimdoors:tesselating>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:oritech:lava_generator>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:laser>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:lychee:block_clicking>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:malum:spirit_focusing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mysticalautomation:farmer>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:infusion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:tool_interaction>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:cataclysm:weapon_fusion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:sauce:charm_charging>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:avaritia_delight:crop_extractor>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:malum:soul_binding>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:enderio:enchanting>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:coffee_ingredient>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:crushing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:minecraft:smoking>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:dispel_entity>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ufo:qmf_recipe>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:lychee:item_burning>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:divinerpg:arcanium_extractor>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:gold_trophy>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:bee_conversion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:crusher>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ae2:crafting_unit_transform>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:enderio:weather_change>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:justenoughbreeding:breeding>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:chicken_roost:soul_extraction>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aether:item_placement_ban>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ae2:transform>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aether:icestone_freezable>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:oritech:refinery>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:malum:spirit_infusion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ufo:stellar_simulation>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:farmersdelight:cutting>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:block_conversion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:spell_write>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:skyfalltesla:phase_stabilizing>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:avaritia_delight:ex_cooking>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mysticalagriculture:soul_extraction>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:hammerlib:test_machine>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aether:incubation>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:lychee:nuclear_explosion_destroy_block>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:alakarkinos_conversion>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:lychee:item_exploding>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:infused_press_decompression>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:rftoolsutility:syringe>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:woot_revived:enchanted_liquifier>
[17:30:43.435][INFO][CraftTweaker-Commands]: - <recipetype:mysticalagriculture:awakening>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:ae2lt:crystal_catalyzer>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:mysticalagriculture:infusion>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:ashfern_cooking>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:farmersdelight:cooking>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:enderio:sag_milling>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:pigment_extracting>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:oritech:cooler>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:prestidigitation>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:imbuement>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:chicken_roost:throwegg>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:rftoolsutility:spawner>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:extendedcrafting:compressor>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:activating>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:advanced_beehive>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:bee_breeding>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:ufo:universal_multiblock>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:windmill_biome>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:mysticalagriculture:soulium_spawner>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:oxidizing>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:cobblegengalore:blockgen>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:sfm:printing_press>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:justenoughbreeding:allay_duplication>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:sawing>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:oritech:particle_collision>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:oritech:centrifuge>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:metallurgic_infusing>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:aether:enchanting>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:sauce:armor_upgrade>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:oritech:deep_drill>
[17:30:43.437][INFO][CraftTweaker-Commands]: - <recipetype:lychee:random_block_ticking>
